IEBC_WARDS,COUNT,FIRST_PROV,FIRST_DIST,FIRST_DIVI,PCODE,STATUS,NO,SHAPE_1,STATUS_1
Got Kachola,5,Nyanza,Migori,Nyatike,KE0001,,1287,Polygon,done
Kachieng',8,Nyanza,Migori,Karungu,KE0003,,1282,Polygon,
Kendu Bay Town,6,Nyanza,Rachuonyo,East Karachuonyo,KE0004,,1236,Polygon,
Abakaile,2,North Eastern,Garissa,Dadaab,KE0005,,151,Polygon,
Abogeta East,10,Eastern,Meru Central,Abogeta,KE0006,,293,Polygon,
Abogeta West,3,Eastern,Meru Central,Abogeta,KE0007,,294,Polygon,
Abothuguchi Central,10,Eastern,Meru Central,Abothuguchi Central,KE0008,,286,Polygon,
Abothuguchi West,22,Eastern,Meru Central,Abothuguchi West,KE0009,,287,Polygon,
Adamsajide,3,North Eastern,Wajir,Hadado,KE0010,,178,Polygon,spelling
Adu,8,Coast,Malindi,Malindi,KE0011,,83,Polygon,
Baraki,2,North Eastern,Garissa,Shant-abak,KE0012,,145,Polygon,done
Ageng'a/Nanguba,7,Western,Busia,Funyula,KE0013,,1150,Polygon,spelling
Ahero,7,Nyanza,Nyando,Kadibo,KE0014,,1208,Polygon,
Ainabkoi/Olare,11,Rift Valley,Uasin Gishu,Ainabkoi,KE0015,,721,Polygon,
Ainamoi,2,Rift Valley,Kericho,Ainamoi,KE0016,,945,Polygon,
Airbase,1,Nairobi,Nairobi,Pumwani,KE0017,,1437,Polygon,
Airport,1,Coast,Mombasa,Changamwe,KE0018,,3,Polygon,
Akachiu,8,Eastern,Meru North,Igembe South West,KE0019,,254,Polygon,
Akirang'ondu,2,Eastern,Meru North,Laare,KE0020,,256,Polygon,
Akithi,10,Eastern,Meru North,Akithi,KE0021,,267,Polygon,spelling
Alale,15,Rift Valley,West Pokot,Alale,KE0022,,656,Polygon,
Alango Gof,1,North Eastern,Mandera,Lafey,KE0023,,220,Polygon,spelling
Amalo,5,Rift Valley,Nakuru,Gilgil,KE0024,,849,Polygon,
Amuathi,2,Eastern,Meru North,Mutuati,KE0025,,265,Polygon,spelling
Amukura Central,5,Western,Teso,Amukura,KE0026,,1132,Polygon,
Amukura East,9,Western,Teso,Amukura,KE0027,,1131,Polygon,
Amukura West,6,Western,Teso,Amukura,KE0028,,1130,Polygon,
Angata Barikoi,5,Rift Valley,Transmara,Lolgorian,KE0029,,883,Polygon,done
Ang'orom,3,Western,Teso,Chakol,KE0030,,1127,Polygon,
Ang'urai East,7,Western,Teso,Ang'urai,KE0031,,1125,Polygon,spelling
Ang'urai North,8,Western,Teso,Ang'urai,KE0032,,1124,Polygon,
Ang'urai South,8,Western,Teso,Ang'urai,KE0033,,1123,Polygon,
Angata Nanyokie,6,Rift Valley,Samburu,Kirisia,KE0034,,670,Polygon,spelling
Antuambui,2,Eastern,Meru North,Laare,KE0035,,261,Polygon,
Arabia,5,North Eastern,Mandera,Fino,KE0036,,211,Polygon,
Arbajahan,5,North Eastern,Wajir,Griftu,KE0037,,176,Polygon,
Arror,6,Rift Valley,Elgeyo Marakwet,Tunyo,KE0038,,740,Polygon,
As-habito,4,North Eastern,Mandera,As-habito,KE0039,,201,Polygon,spelling
Athi,9,Eastern,Kitui,Ikutha,KE0040,,370,Polygon,
Athi River,2,Eastern,Machakos,Athi River,KE0041,,394,Polygon,
Athiru Gaiti,6,Eastern,Meru North,Igembe South East,KE0042,,253,Polygon,
Athiru Runjine,3,Eastern,Meru North,Ndoleli,KE0043,,257,Polygon,spelling
Athwana,6,Eastern,Meru North,Akithi,KE0044,,266,Polygon,
Atuabetwe Kiongo,7,Eastern,Meru North,Ndoleli,KE0045,,263,Polygon,spelling
Awasi/Onjiko,5,Nyanza,Nyando,Nyando,KE0046,,1207,Polygon,
Baawa,7,Rift Valley,Samburu,Kirisia,KE0047,,671,Polygon,
Babadogo,1,Nairobi,Nairobi,Kasarani,KE0048,,1401,Polygon,
Bahari,4,Coast,Lamu,Mpeketoni,KE0049,,110,Polygon,
Bahati,4,Rift Valley,Nakuru,Bahati,KE0050,,869,Polygon,
Balambala,5,North Eastern,Garissa,Balambala,KE0051,,135,Polygon,
Bamba,10,Coast,Kilifi,Bamba,KE0052,,72,Polygon,
Bamburi,1,Coast,Mombasa,Kisauni,KE0053,,11,Polygon,
Banane,7,North Eastern,Wajir,Sabule,KE0054,,184,Polygon,done
Bangale,4,Coast,Tana River,Bangale,KE0055,,98,Polygon,
Banissa,2,North Eastern,Mandera,Malkamari,KE0056,,196,Polygon,
Banja,4,Western,Vihiga,Tiriki West,KE0057,,1064,Polygon,
Baragwi,4,Central,Kirinyaga,Gichugu,KE0058,,505,Polygon,
Malindi Town,1,Coast,Malindi,Malindi,KE0059,,78,Polygon,done
Bartabwa,8,Rift Valley,Baringo,Bartabwa,KE0060,,792,Polygon,
Tirioko,10,Rift Valley,Baringo,Kabartonjo,KE0061,,781,Polygon,done
Barut,7,Rift Valley,Nakuru,Bahati,KE0062,,870,Polygon,
Barwago,3,North Eastern,Wajir,Central,KE0063,,170,Polygon,
Bassi Bogetaorio,6,Nyanza,Gucha (kisii South),Nyacheki,KE0064,,1319,Polygon,
Bassi Central,4,Nyanza,Gucha (kisii South),Nyamache,KE0065,,1317,Polygon,spelling
Basuba,4,Coast,Lamu,Kiunga,KE0066,,103,Polygon,
Batalu,2,North Eastern,Wajir,Buna,KE0067,,165,Polygon,
Batei,8,Rift Valley,West Pokot,Chepareria,KE0068,,658,Polygon,
Benane,2,North Eastern,Garissa,Benane,KE0069,,184,Polygon,
Biashara,6,Rift Valley,Nakuru,Olenguruone,KE0070,,570,Polygon,
Bibirioni,1,Central,Kiambu,Limuru,KE0071,,601,Polygon,
Bidii,1,Rift Valley,Trans Nzoia,Central,KE0072,,679,Polygon,
Birongo,2,Nyanza,Kisii Central,Keumbu,KE0073,,1335,Polygon,
Bobaracho,4,Nyanza,Kisii Central,Kiogoro,KE0074,,1331,Polygon,
Bobasi Chache,4,Nyanza,Gucha (kisii South),Sameta,KE0075,,1320,Polygon,
Bobasi/Boitangare,3,Nyanza,Gucha (kisii South),Sameta,KE0076,,1322,Polygon,
Bofu,1,Coast,Mombasa,Likoni,KE0077,,23,Polygon,
Bogeka,2,Nyanza,Kisii Central,Mosocho,KE0078,,1342,Polygon,
Bogertenga,3,Nyanza,Gucha (kisii South),Nyamarambe,KE0079,,1307,Polygon,spelling
Bogiakumu,5,Nyanza,Kisii Central,Suneka,KE0080,,1302,Polygon,
Bogichora,6,Nyanza,Kisii North (Nyamira),Nyamaiya,KE0081,,1353,Polygon,
Bogisero,4,Nyanza,Kisii Central,Mosocho,KE0082,,1341,Polygon,spelling
Boikanga,3,Nyanza,Gucha (kisii South),Nyamarambe,KE0083,,1306,Polygon,
Boito,7,Rift Valley,Bureti,Kimulot,KE0084,,989,Polygon,
Bokeira,4,Nyanza,Kisii North (Nyamira),Nyamusi,KE0085,,1359,Polygon,
Bokeire,2,Nyanza,Kisii Central,Suneka,KE0086,,,,
Bokimonge,2,Nyanza,Gucha (kisii South),Kenyenya,KE0087,,1313,Polygon,
Bokoli,4,Western,Bungoma,Webuye,KE0088,,1110,Polygon,
Bomani,1,Coast,Taita,Taita/taveta,KE0089,,113,Polygon,
Bomariba,5,Nyanza,Kisii Central,Suneka,KE0090,,1301,Polygon,
Bomwagamo,4,Nyanza,Kisii North (Nyamira),Nyamusi,KE0091,,1358,Polygon,
Bonyamatuta,3,Nyanza,Kisii North (Nyamira),Nyamira,KE0092,,1355,Polygon,
Boochi Borabu,3,Nyanza,Gucha (kisii South),Kenyenya,KE0093,,1312,Polygon,
Boochi/Tendere,4,Nyanza,Gucha (kisii South),Ogembo,KE0094,,1324,Polygon,
Borabu Masaba,2,Nyanza,Gucha (kisii South),Kenyenya,KE0095,,,,
Borabu/Chitago,6,Nyanza,Gucha (kisii South),Etago,KE0096,,1308,Polygon,
Bosamaro,4,Nyanza,Kisii North (Nyamira),Nyamira,KE0097,,1354,Polygon,
Bosoti/Sengera,2,Nyanza,Gucha (kisii South),Ogembo,KE0098,,1325,Polygon,
Bukembe East,2,Western,Bungoma,Kanduyi,KE0099,,1097,Polygon,
Bukembe West,2,Western,Bungoma,Kanduyi,KE0100,,1096,Polygon,
Bukhayo Central,3,Western,Busia,Nambale,KE0101,,1136,Polygon,
Bukhayo East,4,Western,Busia,Nambale,KE0102,,1135,Polygon,
Bukhayo North/ Walat,4,Western,Busia,Nambale,KE0103,,,,
Bukhayo West,3,Western,Busia,Matayos,KE0104,,1137,Polygon,
Bukira Central/Ikerege,3,Nyanza,Kuria,Kehancha,KE0105,,1290,Polygon,spelling
Bukira East,2,Nyanza,Kuria,Kehancha,KE0106,,1289,Polygon,
Bulla Pesa,2,Eastern,Isiolo,Central,KE0107,,242,Polygon,
Bumula,4,Western,Bungoma,Bumula,KE0108,,1090,Polygon,
Buna,3,North Eastern,Wajir,Buna,KE0109,,,,
Bunyala Central,4,Western,Kakamega,Navakholo,KE0110,,1019,Polygon,
Bunyala East,2,Western,Kakamega,Navakholo,KE0111,,1018,Polygon,
Bunyala North,5,Western,Busia,Budalangi,KE0112,,1153,Polygon,
Bunyala South,9,Western,Busia,Budalangi,KE0113,,1155,Polygon,
Bunyala West,8,Western,Kakamega,Navakholo,KE0114,,1017,Polygon,
Bura,11,Coast,Taita,Mwatate,KE0115,,122,Polygon,
Burat,3,Eastern,Isiolo,Central,KE0116,,246,Polygon,
Burder,3,North Eastern,Wajir,Diif,KE0117,,185,Polygon,
Burumba,1,Western,Busia,Township,KE0118,,1141,Polygon,
Busali,6,Western,Vihiga,Sabatia,KE0119,,1060,Polygon,
Busibwabo,3,Western,Busia,Matayos,KE0120,,1140,Polygon,
Butali/Chegulo,4,Western,Kakamega,Kabras,KE0121,,1005,Polygon,
Bute,3,North Eastern,Wajir,Bute,KE0122,,162,Polygon,
Butiye,5,Eastern,Moyale,Central,KE0123,,221,Polygon,
Butsotso Central,3,Western,Kakamega,Lurambi,KE0124,,1011,Polygon,
Butsotso East,3,Western,Kakamega,Lurambi,KE0125,,1009,Polygon,
Butsotso South,3,Western,Kakamega,Lurambi,KE0126,,1010,Polygon,
Bwake/Luuya,3,Western,Bungoma,Nalondo,KE0127,,1087,Polygon,
Bwiri,4,Western,Busia,Funyula,KE0128,,1151,Polygon,
Califonia,1,Nairobi,Nairobi,Pumwani,KE0129,,1438,Polygon,
Central,25,Central,Nyandarua,Ndaragwa,KE0130,,340,Polygon,
Central Alego,9,Nyanza,Siaya,Boro,KE0131,,1165,Polygon,
Central Bunyore,6,Western,Vihiga,Emuhaya,KE0132,,1074,Polygon,
Central Gem,5,Nyanza,Siaya,Yala,KE0133,,1171,Polygon,
Central Kamagambo,3,Nyanza,Migori,Rongo,KE0134,,1262,Polygon,
Central Kanyamkago,5,Nyanza,Migori,Uriri,KE0135,,1279,Polygon,
Central Kasipul,5,Nyanza,Rachuonyo,Kasipul,KE0136,,1223,Polygon,
Central Kisumu,3,Nyanza,Kisumu,Winam,KE0137,,1192,Polygon,
Central Maragoli,4,Western,Vihiga,Vihiga,KE0138,,1053,Polygon,
Central Nyakach,6,Nyanza,Nyando,Lower Nyakach,KE0139,,1218,Polygon,
Central Sakwa,5,Nyanza,Bondo,Nyang'oma,KE0140,,1176,Polygon,
Central Seme,6,Nyanza,Kisumu,Kombewa,KE0141,,1203,Polygon,
Chaani,1,Coast,Mombasa,Changamwe,KE0142,,5,Polygon,
Chaik,2,Rift Valley,Kericho,Belgut,KE0143,,960,Polygon,
Chakol North,6,Western,Teso,Chakol,KE0144,,1129,Polygon,
Chakol South,9,Western,Teso,Chakol,KE0145,,1128,Polygon,
Chala,3,Coast,Taita,Taita/taveta,KE0146,,111,Polygon,
Changamwe,1,Coast,Mombasa,Changamwe,KE0147,,4,Polygon,
Charagita,5,Central,Nyandarua,Ol Joro Orok,KE0148,,461,Polygon,
Chari,4,Eastern,Isiolo,Merti,KE0149,,243,Polygon,
Chasimba,5,Coast,Kilifi,Chonyi,KE0150,,61,Polygon,
Chavakali,4,Western,Vihiga,Sabatia,KE0151,,1057,Polygon,
Chawia,4,Coast,Taita,Mwatate,KE0152,,123,Polygon,
Cheboin,8,Rift Valley,Bureti,Bureti,KE0153,,952,Polygon,
Chebukwabi,2,Western,Bungoma,Kimilili,KE0154,,,,
Chebunyo,9,Rift Valley,Bomet,Siongiroi,KE0155,,974,Polygon,
Chekalaini,2,Western,Kakamega,Lugari,KE0156,,994,Polygon,spelling
Chemagel,7,Rift Valley,Bureti,Sotik,KE0157,,967,Polygon,
Chemaner,6,Rift Valley,Bomet,Longisa,KE0158,,980,Polygon,
Chemelil,8,Nyanza,Nyando,Muhoroni,KE0159,,1214,Polygon,
Chemelil/Chemase,7,Rift Valley,Nandi,Nandi Hills,KE0160,,753,Polygon,
Chemosot,7,Rift Valley,Bureti,Roret,KE0161,,953,Polygon,
Chemuche,4,Western,Kakamega,Kabras,KE0162,,1003,Polygon,
Chemundu/Kapng'entuny,3,Rift Valley,Nandi,Kapsabet,KE0163,,765,Polygon,spelling
Chengoni/Samburu,5,Coast,Kwale,Samburu,KE0164,,48,Polygon,
Chepareria,14,Rift Valley,West Pokot,Chepareria,KE0165,,657,Polygon,
Chepchabas,3,Rift Valley,Kericho,Belgut,KE0166,,986,Polygon,
Chepchoina,3,Rift Valley,Trans Nzoia,Endebes,KE0167,,680,Polygon,
Chepkorio,9,Rift Valley,Elgeyo Marakwet,Chepkorio,KE0168,,746,Polygon,
Chepkumia,2,Rift Valley,Nandi,Kapsabet,KE0169,,770,Polygon,
Chepkunyuk,24,Rift Valley,Nandi,O'llessos,KE0170,,762,Polygon,
Cheplanget,6,Rift Valley,Bureti,Bureti,KE0171,,955,Polygon,
Chepseon,7,Rift Valley,Kericho,Kipkelion,KE0172,,938,Polygon,
Chepsiro/Kiptoror,4,Rift Valley,Trans Nzoia,Cherangany,KE0173,,699,Polygon,
Cheptais,4,Western,Mt. Elgon,Cheptais,KE0174,,1076,Polygon,
Chepterwai,9,Rift Valley,Nandi,Kipkaren,KE0175,,774,Polygon,
Cheptiret/Kipchamo,6,Rift Valley,Uasin Gishu,Kesses,KE0176,,728,Polygon,
Cheptororiet/ Seretut,4,Rift Valley,Kericho,Belgut,KE0177,,959,Polygon,spelling
Chepyuk,6,Western,Mt. Elgon,Kopsiro,KE0178,,1078,Polygon,
Cherab,9,Eastern,Isiolo,Merti,KE0179,,244,Polygon,
Cherangany/Chebororwa,8,Rift Valley,Elgeyo Marakwet,Kapcherop,KE0180,,737,Polygon,
Cherangany/Suwerwa,6,Rift Valley,Trans Nzoia,Cherangany,KE0181,,698,Polygon,spelling
Chesikak,4,Western,Mt. Elgon,Cheptais,KE0182,,1077,Polygon,spelling
Chesoen,5,Rift Valley,Bomet,Bomet Central,KE0183,,984,Polygon,
Chevaywa,3,Western,Kakamega,Matete,KE0184,,995,Polygon,
Chewani,12,Coast,Tana River,Galole,KE0185,,94,Polygon,
Chewele,4,Coast,Tana River,Bura,KE0186,,96,Polygon,
Chiakariga,15,Eastern,Tharaka,Tharaka South,KE0187,,309,Polygon,spelling
Chilchila,6,Rift Valley,Kericho,Chilchila,KE0188,,943,Polygon,
Chinga,12,Central,Nyeri,Kieni West,KE0189,,485,Polygon,
Chogoria,10,Eastern,Meru South,Mwimbi,KE0190,,300,Polygon,
Chuluni,4,Eastern,Kitui,Chuluni,KE0191,,361,Polygon,
Churo/Amaya,5,Rift Valley,Baringo,Tangulbei,KE0192,,787,Polygon,
Cianda,4,Central,Kiambu,Kiambaa,KE0193,,586,Polygon,
Clay City,1,Nairobi,Nairobi,Kasarani,KE0194,,1396,Polygon,
Dabaso,4,Coast,Malindi,Malindi,KE0195,,54,Polygon,
Dadaab,1,North Eastern,Garissa,Dadaab,KE0196,,147,Polygon,
Dadaja Bula,4,North Eastern,Wajir,Diif,KE0197,,186,Polygon,spelling
Dalalekutuk,11,Rift Valley,Kajiado,Central,KE0198,,918,Polygon,
Damajale,3,North Eastern,Garissa,Dadaab,KE0199,,149,Polygon,
Danaba,3,North Eastern,Wajir,Gurar,KE0200,,166,Polygon,
Dandora Area Four,1,Nairobi,Nairobi,Embakasi,KE0201,,1415,Polygon,
Dandora Area Three,1,Nairobi,Nairobi,Embakasi,KE0202,,1414,Polygon,
Dandora Area Two,1,Nairobi,Nairobi,Embakasi,KE0203,,1413,Polygon,
Dandora Area one,2,Nairobi,Nairobi,Kasarani,KE0204,,1412,Polygon,
Dandu,4,North Eastern,Mandera,Dandu,KE0205,,194,Polygon,
Danyere,6,North Eastern,Garissa,Danyere,KE0206,,136,Polygon,
Dedan Kimathi,10,Central,Nyeri,Tetu,KE0207,,466,Polygon,
Dekaharia,3,North Eastern,Ijara,Hulugho,KE0208,,153,Polygon,
Dela,1,North Eastern,Wajir,El-das,KE0209,,181,Polygon,spelling
Derkale,1,North Eastern,Mandera,Banissa,KE0210,,197,Polygon,spelling
Dertu,1,North Eastern,Garissa,Dadaab,KE0211,,146,Polygon,
Dukana,4,Eastern,Marsabit,North Horr,KE0212,,228,Polygon,
Dundori,3,Rift Valley,Nakuru,Bahati,KE0213,,865,Polygon,
Dungicha,9,Coast,Kilifi,Bamba,KE0214,,,,
Dzombo,2,Coast,Kwale,Lungalunga,KE0215,,36,Polygon,
East Alego,4,Nyanza,Siaya,Karemo,KE0216,,,,
East Asembo,5,Nyanza,Bondo,Rarieda,KE0217,,1181,Polygon,
East Bunyore,6,Western,Vihiga,Emuhaya,KE0218,,,,
East Gem,4,Nyanza,Siaya,Yala,KE0219,,1173,Polygon,
East Kabras,2,Western,Kakamega,Kabras,KE0220,,1004,Polygon,
East Kamagak,2,Nyanza,Rachuonyo,Kasipul,KE0221,,1224,Polygon,
East Kamagambo,6,Nyanza,Migori,Rongo,KE0222,,1263,Polygon,
East Kano/Wawidhi,5,Nyanza,Nyando,Nyando,KE0223,,1206,Polygon,
East Kanyamkago,2,Nyanza,Migori,Uriri,KE0224,,1281,Polygon,
East Sang'alo,2,Western,Bungoma,Kanduyi,KE0225,,1101,Polygon,
East Seme,5,Nyanza,Kisumu,Maseno,KE0226,,1204,Polygon,
East Ugenya,6,Nyanza,Siaya,Ukwala,KE0227,,1159,Polygon,
East Wanga,3,Western,Kakamega,East Wanga,KE0228,,1026,Polygon,
Eastleigh North,1,Nairobi,Nairobi,Pumwani,KE0229,,1435,Polygon,
Eastleigh South,1,Nairobi,Nairobi,Pumwani,KE0230,,1436,Polygon,
Ekalakala,4,Eastern,Machakos,Masinga,KE0231,,373,Polygon,
Ekerenyo,1,Nyanza,Kisii North (Nyamira),Ekerenyo,KE0232,,1361,Polygon,
El Wak North,3,North Eastern,Mandera,Elwak,KE0233,,209,Polygon,
El Wak South,3,North Eastern,Mandera,Elwak,KE0234,,208,Polygon,spelling
El-Nur/Tula-tula,4,North Eastern,Wajir,Griftu,KE0235,,183,Polygon,
El-barta,7,Rift Valley,Samburu,Baragoi,KE0236,,666,Polygon,spelling
Elben,4,North Eastern,Wajir,Tarbaji,KE0237,,172,Polygon,
Elburgon,4,Rift Valley,Nakuru,Rongai,KE0238,,827,Polygon,
Eldas,2,North Eastern,Wajir,El-das,KE0239,,180,Polygon,
Elementaita,2,Rift Valley,Nakuru,Lare,KE0240,,845,Polygon,
Elugulu,5,Western,Busia,Butula,KE0241,,1147,Polygon,
Emabungo,4,Western,Vihiga,Emuhaya,KE0242,,1072,Polygon,
Emali/Mulala,16,Eastern,Makueni,Mbitini,KE0243,,436,Polygon,
Embakasi,1,Nairobi,Nairobi,Embakasi,KE0244,,1423,Polygon,
Embobut,6,Rift Valley,Elgeyo Marakwet,Tirap,KE0245,,,,
Embomos,11,Rift Valley,Bureti,Konoin,KE0246,,990,Polygon,
Emining,11,Rift Valley,Koibatek,Emining,KE0247,,803,Polygon,
Emsoo,6,Rift Valley,Elgeyo Marakwet,Tambach,KE0248,,742,Polygon,
Embobut/Embulot,2,Rift Valley,Trans Nzoia,Endebes,KE0249,,734,Polygon,
Endo,12,Rift Valley,Elgeyo Marakwet,Tot,KE0250,,733,Polygon,
Endugh,12,Rift Valley,West Pokot,Chepareria,KE0251,,645,Polygon,
Engineer,1,Central,Nyandarua,North Kinangop,KE0252,,441,Polygon,
Entonet/Lenkism,5,Rift Valley,Kajiado,Loitokitok,KE0253,,931,Polygon,
Esise,3,Nyanza,Kisii North (Nyamira),Borabu,KE0254,,1365,Polygon,
Etenje,3,Western,Kakamega,South Wanga,KE0255,,1022,Polygon,
Evurore,8,Eastern,Mbeere,Evurore,KE0256,,330,Polygon,
Ewalel/Chapchap,9,Rift Valley,Baringo,Kabarnet,KE0257,,796,Polygon,
Ewuaso O o Nkidong'i/M,9,Rift Valley,Kajiado,Ngong,KE0258,,929,Polygon,spelling
Fafi,3,North Eastern,Garissa,Jara Jila,KE0259,,155,Polygon,
Faza,9,Coast,Lamu,Kizingitini,KE0260,,101,Polygon,
Fino,1,North Eastern,Mandera,Fino,KE0261,,217,Polygon,
Frere Town,1,Coast,Mombasa,Kisauni,KE0262,,16,Polygon,
Gaaki/Aguthi,10,Central,Nyeri,Tetu,KE0263,,468,Polygon,
Gachuba,3,Nyanza,Kisii North (Nyamira),Rigoma,KE0264,,1347,Polygon,
Gaichanjiru,5,Central,Maragwa,Kandara,KE0265,,542,Polygon,
Gakawa,3,Central,Nyeri,Kieni East,KE0266,,476,Polygon,
Galbet,1,North Eastern,Garissa,Central,KE0267,,132,Polygon,
Ganda,4,Coast,Malindi,Malindi,KE0268,,77,Polygon,
Ganga,4,Eastern,Meru South,Mwimbi,KE0269,,299,Polygon,
Ganyure,3,North Eastern,Wajir,Griftu,KE0270,,179,Polygon,spelling
Garashi,9,Coast,Malindi,Marafa,KE0271,,84,Polygon,
Garba Tulla,5,Eastern,Isiolo,Garba Tulla,KE0272,,248,Polygon,
Garsen Central,5,Coast,Tana River,Garsen,KE0273,,89,Polygon,
Garsen North,6,Coast,Tana River,Garsen,KE0274,,91,Polygon,
Garsen South,6,Coast,Tana River,Garsen,KE0275,,87,Polygon,
Garsen West,5,Coast,Tana River,Garsen,KE0276,,90,Polygon,
Gatanga,4,Central,Thika,Gatanga,KE0277,,549,Polygon,
Gatarakwa,5,Central,Nyeri,Kieni West,KE0278,,473,Polygon,
