IEBC_WARDS,COUNT,FIRST_PROV,FIRST_DIST,FIRST_DIVI,PCODE,STATUS,NO,SHAPE_1,STATUS_1
Masii,9,Eastern,Machakos,Mwala,KE0848,,407,Polygon,
Masimba,8,Nyanza,Kisii Central,Masaba,KE0849,,1328,Polygon,
Masinga Central,8,Eastern,Machakos,Masinga,KE0850,,372,Polygon,
Masol,6,Rift Valley,West Pokot,Sigor,KE0851,,648,Polygon,spelling
Masongaleni,10,Eastern,Makueni,Kibwezi,KE0852,,437,Polygon,
Masumba/Nguu,30,Eastern,Makueni,Nguu,KE0853,,435,Polygon,spelling
Mata,2,Coast,Taita,Taita/taveta,KE0854,,115,Polygon,
Matapato North,8,Rift Valley,Kajiado,Namanga,KE0855,,919,Polygon,
Matapato South,6,Rift Valley,Kajiado,Namanga,KE0856,,920,Polygon,
Matayos South,9,Western,Busia,Matayos,KE0857,,1139,Polygon,
Mathare North,1,Nairobi,Nairobi,Kasarani,KE0858,,1403,Polygon,
Matinyani,10,Eastern,Kitui,Matinyani,KE0859,,348,Polygon,
Matisi,3,Rift Valley,Trans Nzoia,Central,KE0860,,684,Polygon,
Matsangoni,4,Coast,Kilifi,Bahari,KE0861,,55,Polygon,
Matulo,3,Western,Bungoma,Webuye,KE0862,,1109,Polygon,
Matumbei,2,Rift Valley,Trans Nzoia,Endebes,KE0863,,682,Polygon,
Matungulu East,5,Eastern,Machakos,Matungulu,KE0864,,387,Polygon,
Matungulu North,5,Eastern,Machakos,Matungulu,KE0865,,386,Polygon,
Matungulu West,9,Eastern,Machakos,Matungulu,KE0866,,388,Polygon,
Matuu,4,Eastern,Machakos,Yatta,KE0867,,377,Polygon,
Mau Narok,2,Rift Valley,Nakuru,Mauche,KE0868,,830,Polygon,
Maua Town,8,Eastern,Meru North,Igembe East,KE0869,,251,Polygon,spelling
Mauche,9,Rift Valley,Nakuru,Lare,KE0870,,831,Polygon,
Mautuma,2,Western,Kakamega,Lugari,KE0871,,991,Polygon,
Mavindini,10,Eastern,Makueni,Kathonzweni,KE0872,,426,Polygon,
Mavuria,8,Eastern,Mbeere,Gachoka,KE0873,,326,Polygon,
Ziwa La Ng'ombe,1,Coast,Mombasa,Kisauni,KE0874,,17,Polygon,
Mayenje,1,Western,Busia,Township,KE0875,,1138,Polygon,
Mayoni,2,Western,Kakamega,Matungu,KE0876,,1030,Polygon,
Mazeras/mugumo Wa Patsa,2,Coast,Kilifi,Kaloleni,KE0877,,,,
Mbakalo,2,Western,Bungoma,Tongaren,KE0878,,1115,Polygon,
Mbaruk/Eburu,3,Rift Valley,Nakuru,Municipality,KE0879,,846,Polygon,
Mbeti,5,Eastern,Mbeere,Gachoka,KE0880,,325,Polygon,spelling
Mbeti North,4,Eastern,Embu,Central,KE0881,,314,Polygon,
Mbeu,6,Eastern,Meru North,Uringu,KE0882,,270,Polygon,
Mbiri,7,Central,Murang'a,Kiharu,KE0883,,524,Polygon,
Mbitini,35,Eastern,Kitui,Chuluni,KE0884,,430,Polygon,
Mboghoni,3,Coast,Taita,Taita/taveta,KE0885,,114,Polygon,
Mbololo,3,Coast,Taita,Voi,KE0886,,125,Polygon,
Mbooni,8,Eastern,Makueni,Mbooni,KE0887,,412,Polygon,
Megun,3,Rift Valley,Uasin Gishu,Kesses,KE0888,,725,Polygon,
Mekenene,4,Nyanza,Kisii North (Nyamira),Borabu,KE0889,,1362,Polygon,
Menengai,3,Rift Valley,Nakuru,Kamara,KE0890,,879,Polygon,
Menengai west,5,Rift Valley,Nakuru,Rongai,KE0891,,860,Polygon,
Merigi,6,Rift Valley,Bomet,Bomet Central,KE0892,,976,Polygon,
Metkei,9,Rift Valley,Elgeyo Marakwet,Metkei,KE0893,,750,Polygon,
Mfang'ano Island,6,Nyanza,Suba,Mfang'ano,KE0894,,1252,Polygon,spelling
Miambani,5,Eastern,Kitui,Central,KE0895,,354,Polygon,
Migosi,1,Nyanza,Kisumu,Winam,KE0896,,1197,Polygon,
Migwani,10,Eastern,Kitui,Central,KE0897,,338,Polygon,
Mihang'o,1,Nairobi,Nairobi,Embakasi,KE0898,,1425,Polygon,
Mihuu,4,Western,Bungoma,Ndivisi,KE0899,,1104,Polygon,
Mikindani,2,Coast,Mombasa,Changamwe,KE0900,,8,Polygon,
Mikinduni,5,Coast,Tana River,Galole,KE0901,,93,Polygon,
Mikinduri,5,Eastern,Meru North,Tigania Central,KE0902,,272,Polygon,
Milangine,2,Central,Nyandarua,Ol Kalou,KE0903,,455,Polygon,spelling
Milima,1,Western,Bungoma,Tongaren,KE0904,,1117,Polygon,
Milimani/Milimani,2,Nyanza,Kisumu,Winam,KE0905,,,,
Miritini,1,Coast,Mombasa,Changamwe,KE0906,,7,Polygon,
Mitaboni,6,Eastern,Machakos,Kathiani,KE0907,,390,Polygon,spelling
Mitheru,3,Eastern,Meru South,Muthambi,KE0908,,296,Polygon,
Mitunguu,2,Eastern,Meru Central,Nkuene,KE0909,,290,Polygon,
Miwani,4,Nyanza,Nyando,Miwani,KE0910,,1211,Polygon,
Mjambere,1,Coast,Mombasa,Kisauni,KE0911,,9,Polygon,
Mji Wa Kale/makadara,3,Coast,Mombasa,Island,KE0912,,26,Polygon,
Mkomani,1,Coast,Mombasa,Kisauni,KE0913,,105,Polygon,
Mkongani,4,Coast,Kwale,Kubo,KE0914,,43,Polygon,
Mkunumbi,4,Coast,Lamu,Mpeketoni,KE0915,,107,Polygon,
Mlango Kubwa,1,Nairobi,Nairobi,Central,KE0916,,1449,Polygon,
Mnagei,9,Rift Valley,West Pokot,Kapenguria,KE0917,,643,Polygon,
Mnarani,5,Coast,Kilifi,Kikambala,KE0918,,57,Polygon,
Mochongoi,13,Rift Valley,Baringo,Mochongoi,KE0919,,800,Polygon,
Mogogosiek,7,Rift Valley,Bureti,Konoin,KE0920,,988,Polygon,
Mogondo,3,Rift Valley,Transmara,Kirindon,KE0921,,889,Polygon,
Mogotio,14,Rift Valley,Baringo,Sirwa,KE0922,,802,Polygon,
Moi's Bridge,1,Rift Valley,Uasin Gishu,Soy,KE0923,,701,Polygon,
Moiben,5,Rift Valley,Uasin Gishu,Moiben,KE0924,,717,Polygon,
Moiben/Kuserwo,7,Rift Valley,Elgeyo Marakwet,Chebiemit,KE0925,,738,Polygon,
Mokerero,3,Nyanza,Kuria,Kehancha,KE0926,,1292,Polygon,
Molo,4,Rift Valley,Nakuru,Molo,KE0927,,829,Polygon,
Mosiro,2,Rift Valley,Kajiado,Ngong,KE0928,,897,Polygon,
Mosop,8,Rift Valley,Nakuru,Rongai,KE0929,,863,Polygon,
Moticho,4,Nyanza,Gucha (kisii South),Etago,KE0930,,1309,Polygon,
Motosiet,2,Rift Valley,Trans Nzoia,Kaplamai,KE0931,,697,Polygon,
Mountain View,2,Nairobi,Nairobi,Westlands,KE0932,,1370,Polygon,
Mowlem,1,Nairobi,Nairobi,Embakasi,KE0933,,1428,Polygon,
Mt. Elgon,20,Western,Mt. Elgon,Kaptama,KE0934,,1081,Polygon,spelling
Mtepeni,3,Coast,Kilifi,Kikambala,KE0935,,62,Polygon,
Mtito Andei,8,Eastern,Makueni,Mtito Andei,KE0936,,438,Polygon,
Mtongwe,1,Coast,Mombasa,Likoni,KE0937,,21,Polygon,
Mtopanga,1,Coast,Mombasa,Kisauni,KE0938,,13,Polygon,
Mua,7,Eastern,Machakos,Central,KE0939,,399,Polygon,
Muchatha,3,Central,Kiambu,Kiambaa,KE0940,,589,Polygon,
Mugoiri,4,Central,Murang'a,Kahuro,KE0941,,523,Polygon,
Muguga,3,Central,Kiambu,Kikuyu,KE0942,,592,Polygon,
Mugumo-ini,2,Nairobi,Nairobi,Kibera,KE0943,,1383,Polygon,
Mugumoini,5,Central,Thika,Gatanga,KE0944,,,,
Mugunda,6,Central,Nyeri,Kieni West,KE0945,,472,Polygon,
Muguru,8,Central,Murang'a,Kangema,KE0946,,517,Polygon,
Mugwe,7,Eastern,Meru South,Chuka,KE0947,,304,Polygon,
Muhoroni/Koru,9,Nyanza,Nyando,Muhoroni,KE0948,,1215,Polygon,spelling
Muhudu,3,Western,Vihiga,Tiriki East,KE0949,,1065,Polygon,
Muhuru,8,Nyanza,Migori,Muhuru,KE0950,,1288,Polygon,
Mui,6,Eastern,Kitui,Mui,KE0951,,344,Polygon,
Mukaa,8,Eastern,Makueni,Kilome,KE0952,,418,Polygon,
Mukogodo East,9,Rift Valley,Laikipia,Mukogodo,KE0953,,825,Polygon,
Mukogodo West,5,Rift Valley,Laikipia,Mukogodo,KE0954,,824,Polygon,
Mukothima,6,Eastern,Tharaka,Tharaka North,KE0955,,307,Polygon,
Mukure,4,Central,Kirinyaga,Ndia,KE0956,,509,Polygon,
Mukurweni Central,8,Central,Nyeri,Mukurweini,KE0957,,490,Polygon,
Mukurweni West,7,Central,Nyeri,Mukurweini,KE0958,,489,Polygon,
Mukutani,6,Rift Valley,Baringo,Mukutani,KE0959,,801,Polygon,
Mukuyuni,5,Western,Bungoma,Chwele,KE0960,,1088,Polygon,
Mulango,7,Eastern,Kitui,Central,KE0961,,357,Polygon,
Mumberes/Maji Mazuri,4,Rift Valley,Baringo,Eldama Ravine,KE0962,,808,Polygon,
Mumbuni North,3,Eastern,Machakos,Central,KE0963,,402,Polygon,
Mumias Central,3,Western,Kakamega,Mumias,KE0964,,1020,Polygon,
Mumias North,1,Western,Kakamega,Mumias,KE0965,,1021,Polygon,
Muminji,5,Eastern,Mbeere,Siakago,KE0966,,329,Polygon,
Mumoni,14,Eastern,Kitui,Mumoni,KE0967,,333,Polygon,
Munanda,5,Rift Valley,Nakuru,Mbogoini,KE0968,,,,
Mungoma,4,Western,Vihiga,Vihiga,KE0969,,1054,Polygon,
Municipality,4,Eastern,Meru Central,Miriga Mieru West,KE0970,,276,Polygon,
Murarandia,5,Central,Murang'a,Kahuro,KE0971,,526,Polygon,
Murera,1,Central,Thika,Ruiru,KE0972,,559,Polygon,
Murhanda,4,Western,Kakamega,Shinyalu,KE0973,,1042,Polygon,
Murindat,3,Rift Valley,Nakuru,Gilgil,KE0974,,848,Polygon,
Murinduko,4,Central,Kirinyaga,Mwea,KE0975,,501,Polygon,
Muruka,3,Central,Maragwa,Kandara,KE0976,,540,Polygon,
Murungaru,3,Central,Nyandarua,North Kinangop,KE0977,,444,Polygon,
Musanda,4,Western,Kakamega,South Wanga,KE0978,,1023,Polygon,
Musikoma,2,Western,Bungoma,Kanduyi,KE0979,,1100,Polygon,
Mutarakwa,5,Rift Valley,Bomet,Mutarakwa,KE0980,,985,Polygon,
Mutha,10,Eastern,Kitui,Mutha,KE0981,,367,Polygon,
Muthambi,6,Eastern,Meru South,Muthambi,KE0982,,297,Polygon,
Muthara,8,Eastern,Meru North,Tigania North,KE0983,,274,Polygon,
Muthesya,4,Eastern,Machakos,Ndithini,KE0984,,374,Polygon,
Muthetheni,10,Eastern,Machakos,Yathui,KE0985,,408,Polygon,
Muthithi,5,Central,Maragwa,Maragwa,KE0986,,529,Polygon,
Muthwani,3,Eastern,Machakos,Athi River,KE0987,,396,Polygon,
Mutira,4,Central,Kirinyaga,Central,KE0988,,512,Polygon,
Mutithi,4,Central,Kirinyaga,Mwea,KE0989,,496,Polygon,
Mutito/Kaliku,8,Eastern,Kitui,Mutito,KE0990,,364,Polygon,
Mutituni,6,Eastern,Machakos,Central,KE0991,,400,Polygon,
Mutomo,6,Eastern,Kitui,Mutomo,KE0992,,366,Polygon,
Mutonguni,9,Eastern,Kitui,Mutonguni,KE0993,,346,Polygon,spelling
Mutu-Ini,2,Nairobi,Nairobi,Dagoretti,KE0994,,1376,Polygon,
Muvuti/Kiima-kimwe,7,Eastern,Machakos,Central,KE0995,,403,Polygon,
Mwaking'oina,2,Nyanza,Kisii Central,Marani,KE0996,,,,
Mwakirunge,2,Coast,Mombasa,Kisauni,KE0997,,12,Polygon,
Mwalano,12,Eastern,Kitui,Migwani,KE0998,,,,
Mwamonari,2,Nyanza,Kisii Central,Marani,KE0999,,,,
Mwanamwinga,3,Coast,Kilifi,Kaloleni,KE1000,,66,Polygon,
Mwanda/mghange,6,Coast,Taita,Wundanyi,KE1001,,119,Polygon,spelling
Mwangathia,6,Eastern,Meru Central,Abothuguchi East,KE1002,,285,Polygon,
Mwarakaya,4,Coast,Kilifi,Chonyi,KE1003,,59,Polygon,
Mwariki A,1,Rift Valley,Nakuru,Municipality,KE1004,,,,
Mwatate,3,Coast,Taita,Mwatate,KE1005,,121,Polygon,
Mwavumbo,4,Coast,Kwale,Samburu,KE1006,,49,Polygon,
Mwawesa,5,Coast,Kilifi,Kaloleni,KE1007,,67,Polygon,
Mwea,4,Eastern,Mbeere,Mwea,KE1008,,323,Polygon,
Mwereni,3,Coast,Kwale,Lungalunga,KE1009,,37,Polygon,
Mwibona,3,Western,Vihiga,Luanda,KE1010,,1070,Polygon,
Mwihoko,1,Central,Thika,Ruiru,KE1011,,576,Polygon,
Mwiki,2,Nairobi,Nairobi,Kasarani,KE1012,,575,Polygon,
Mwimbi,7,Eastern,Meru South,Mwimbi,KE1013,,298,Polygon,
Mwitika/Zombe,9,Eastern,Kitui,Mutito,KE1014,,359,Polygon,
Mwiyogo/Endarasha,5,Central,Nyeri,Kieni West,KE1015,,471,Polygon,
Mwonyorero,3,Nyanza,Kisii Central,Marani,KE1016,,,,
Naikarra,1,Rift Valley,Narok,,KE1017,,910,Polygon,
Narok Town,1,Rift Valley,Narok,,KE1018,,893,Polygon,spelling
Nkareta,1,Rift Valley,Narok,,KE1019,,894,Polygon,spelling
Naathu,2,Eastern,Meru North,Mutuati,KE1020,,264,Polygon,
Nabiswa,1,Rift Valley,Trans Nzoia,Kiminini,KE1021,,693,Polygon,
Nachola,7,Rift Valley,Samburu,Nyiro,KE1022,,667,Polygon,
Nachu,4,Central,Kiambu,Kikuyu,KE1023,,597,Polygon,
Nairobi Central,6,Nairobi,Nairobi,Central,KE1024,,1439,Polygon,
Nairobi South,2,Nairobi,Nairobi,Makadara,KE1025,,1444,Polygon,
Nairobi West,1,Nairobi,Nairobi,Kibera,KE1026,,1382,Polygon,
Naitiri/Kabuyefwe,3,Western,Bungoma,Tongaren,KE1027,,1116,Polygon,
Naivasha East,2,Rift Valley,Nakuru,Naivasha,KE1028,,842,Polygon,
Nakalale,4,Rift Valley,Turkana,Kakuma,KE1029,,616,Polygon,
Nakuru East,4,Rift Valley,Nakuru,Elburgon,KE1030,,880,Polygon,
Namamali,4,Western,Kakamega,Matungu,KE1031,,1031,Polygon,
Nambale,3,Western,Busia,Nambale,KE1032,,1133,Polygon,
Namboboto-Nambuku,10,Western,Busia,Funyula,KE1033,,1148,Polygon,
Namwela,3,Western,Bungoma,Sirisia,KE1034,,1082,Polygon,
Nanaam,5,Rift Valley,Turkana,Lokichoggio,KE1035,,623,Polygon,
Nandi Hills,18,Rift Valley,Nandi,Nandi Hills,KE1036,,761,Polygon,
Nangina,8,Western,Busia,Funyula,KE1037,,1149,Polygon,
Nanighi,2,North Eastern,Garissa,Bura,KE1038,,156,Polygon,
Nanyuki,3,Rift Valley,Laikipia,Central,KE1039,,820,Polygon,
Naromoru/Kiamathag,7,Central,Nyeri,Kieni East,KE1040,,470,Polygon,
Ndalani,5,Eastern,Machakos,Yatta,KE1041,,376,Polygon,
Ndalat,7,Rift Valley,Nandi,Kipkaren,KE1042,,778,Polygon,
Ndalu,2,Western,Bungoma,Tongaren,KE1043,,1118,Polygon,
Ndanai/Abosi,9,Rift Valley,Bomet,Ndanai,KE1044,,966,Polygon,
Ndaraweta,5,Rift Valley,Bomet,Bomet Central,KE1045,,982,Polygon,
Ndarugu,6,Central,Thika,Gatundu South,KE1046,,553,Polygon,spelling
Ndavaya,4,Coast,Kwale,Kinango,KE1047,,44,Polygon,
Ndeiya,4,Central,Kiambu,Ndeiya,KE1048,,603,Polygon,
Ndenderu,5,Central,Kiambu,Kiambaa,KE1049,,588,Polygon,
Ndithini,4,Eastern,Machakos,Ndithini,KE1050,,375,Polygon,
Ndivisi,6,Western,Bungoma,Ndivisi,KE1051,,1105,Polygon,
Ndoto,8,Rift Valley,Samburu,Baragoi,KE1052,,668,Polygon,
Ndumberi,2,Central,Kiambu,Kiambu Municipality,KE1053,,583,Polygon,
Nessuit,3,Rift Valley,Nakuru,Keringet,KE1054,,833,Polygon,
Ng'araria,3,Central,Maragwa,Kandara,KE1055,,539,Polygon,
Ngando,1,Nairobi,Nairobi,Dagoretti,KE1056,,1377,Polygon,
Ngara,2,Nairobi,Nairobi,Central,KE1057,,1440,Polygon,
Ngare Mara,2,Eastern,Isiolo,Central,KE1058,,245,Polygon,
Ngariama,4,Central,Kirinyaga,Gichugu,KE1059,,507,Polygon,
Ngecha/Tigoni,4,Central,Kiambu,Limuru,KE1060,,605,Polygon,spelling
Ngei,1,Nairobi,Nairobi,Central,KE1061,,1448,Polygon,
Ngenyilel,2,Rift Valley,Uasin Gishu,Turbo,KE1062,,708,Polygon,
Ngeria,2,Rift Valley,Uasin Gishu,Kapsaret,KE1063,,724,Polygon,
Ngewa,4,Central,Kiambu,Githunguri,KE1064,,580,Polygon,
Nginda,9,Central,Maragwa,Maragwa,KE1065,,313,Polygon,
Ngobit,4,Rift Valley,Laikipia,Lamuria,KE1066,,817,Polygon,
Ngolia,3,Coast,Taita,Tausa,KE1067,,130,Polygon,
Ngoliba,3,Central,Thika,Thika Municipality,KE1068,,568,Polygon,
Ngomeni,8,Eastern,Kitui,Ngomeni,KE1069,,331,Polygon,
Ngong,1,Rift Valley,Kajiado,Ngong,KE1070,,915,Polygon,
Nguni,8,Eastern,Kitui,Nguni,KE1071,,342,Polygon,
Nguumo,8,Eastern,Makueni,Makindu,KE1072,,432,Polygon,
Nguutani,8,Eastern,Kitui,Migwani,KE1073,,337,Polygon,
Njabini/Kiburu,2,Central,Nyandarua,South Kinangop,KE1074,,445,Polygon,spelling
Njia,7,Eastern,Meru North,Igembe North,KE1075,,259,Polygon,
Njiru,2,Nairobi,Nairobi,Embakasi,KE1076,,1399,Polygon,
Njoro,3,Rift Valley,Nakuru,Molo,KE1077,,835,Polygon,
Njukiine,4,Central,Kirinyaga,Gichugu,KE1078,,506,Polygon,
Nkaimurunya,2,Rift Valley,Kajiado,Ngong,KE1079,,913,Polygon,
Nkomo,6,Eastern,Meru North,Uringu,KE1080,,269,Polygon,
Nkondi,6,Eastern,Tharaka,Tharaka North,KE1081,,308,Polygon,
Nkuene,4,Eastern,Meru Central,Nkuene,KE1082,,295,Polygon,
North East Gem,1,Nyanza,Siaya,Yala,KE1083,,,,
North East Sakwa,4,Nyanza,Migori,Awendo,KE1084,,1265,Polygon,
North Gem,8,Nyanza,Siaya,Yala,KE1085,,1169,Polygon,
North Horr,4,Eastern,Marsabit,North Horr,KE1086,,231,Polygon,
North Kabuoch,7,Nyanza,Homa Bay,Riana,KE1087,,,,
North Kadem,8,Nyanza,Migori,Nyatike,KE1088,,1284,Polygon,
North Kamagambo,4,Nyanza,Migori,Rongo,KE1089,,1261,Polygon,
North Kanyamkago,5,Nyanza,Migori,Uriri,KE1090,,1278,Polygon,
North Karachuonyo,10,Nyanza,Rachuonyo,West Karachuonyo,KE1091,,1231,Polygon,
North Kinangop,2,Central,Nyandarua,North Kinangop,KE1092,,443,Polygon,
North Maragoli,5,Western,Vihiga,Sabatia,KE1093,,1058,Polygon,
North Nyakach,11,Nyanza,Nyando,Lower Nyakach,KE1094,,1217,Polygon,
North Rachuonyo,2,Nyanza,Rachuonyo,Kasipul,KE1095,,,,
North Seme,7,Nyanza,Kisumu,Maseno,KE1096,,1205,Polygon,
North Ugenya,5,Nyanza,Siaya,Ukwala,KE1097,,1158,Polygon,
North Uyoma,5,Nyanza,Bondo,Madiany,KE1098,,1183,Polygon,
North West Kisumu,4,Nyanza,Kisumu,Maseno,KE1099,,1195,Polygon,
Nthawa,4,Eastern,Mbeere,Siakago,KE1100,,328,Polygon,
Ntima East,4,Eastern,Meru Central,Miriga Mieru West,KE1101,,277,Polygon,
Ntima West,8,Eastern,Meru Central,Miriga Mieru West,KE1102,,278,Polygon,
Ntimaru East,3,Nyanza,Kuria,Ntimaru,KE1103,,1298,Polygon,
Ntimaru West,4,Nyanza,Kuria,Ntimaru,KE1104,,1297,Polygon,
Ntunene,2,Eastern,Meru North,Laare,KE1105,,262,Polygon,
Nuu,7,Eastern,Kitui,Nuu,KE1106,,343,Polygon,
Nyabasi East,6,Nyanza,Kuria,Kegonga,KE1107,,1299,Polygon,
Nyabasi West,6,Nyanza,Kuria,Kegonga,KE1108,,1300,Polygon,
Nyacheki,5,Nyanza,Gucha (kisii South),Nyacheki,KE1109,,1318,Polygon,
Nyaki East,10,Eastern,Meru Central,Miriga Mieru East,KE1110,,280,Polygon,
Nyaki West,9,Eastern,Meru Central,Miriga Mieru East,KE1111,,279,Polygon,
Nyakio,3,Central,Nyandarua,South Kinangop,KE1112,,446,Polygon,
Nyakoe,4,Nyanza,Kisii Central,Mosocho,KE1113,,1343,Polygon,
Nyalenda 'A',1,Nyanza,Kisumu,Winam,KE1114,,1189,Polygon,
Nyalenda 'B',1,Nyanza,Kisumu,Winam,KE1115,,1201,Polygon,spelling
Nyamaiya,5,Nyanza,Kisii North (Nyamira),Nyamaiya,KE1116,,1352,Polygon,
Nyamasibi,5,Nyanza,Kisii Central,Masaba,KE1117,,1327,Polygon,
Nyamusense/Komoso,4,Nyanza,Kuria,Mabera,KE1118,,1295,Polygon,spelling
Nyanduma,3,Central,Kiambu,Lari,KE1119,,608,Polygon,
Nyangati,5,Central,Kirinyaga,Mwea,KE1120,,500,Polygon,spelling
Nyangores,8,Rift Valley,Bomet,Bomet Central,KE1121,,972,Polygon,
Nyansiongo,2,Nyanza,Kisii North (Nyamira),Borabu,KE1122,,1364,Polygon,
Nyathuna,4,Central,Kiambu,Kikuyu,KE1123,,593,Polygon,spelling
Nyatieko,2,Nyanza,Kisii Central,Mosocho,KE1124,,1345,Polygon,
Nyayo Highrise,1,Nairobi,Nairobi,Kibera,KE1125,,1385,Polygon,
Nyiro,11,Rift Valley,Samburu,Nyiro,KE1126,,669,Polygon,
Nyota,8,Rift Valley,Nakuru,Kuresoi,KE1127,,854,Polygon,
Nzambani,2,Eastern,Kitui,Chuluni,KE1128,,360,Polygon,
Nzaui/kilili/Kalamba,12,Eastern,Makueni,Matiliku,KE1129,,429,Polygon,spelling
Nzoia,4,Western,Kakamega,Likuyani,KE1130,,1000,Polygon,
O'llessos,10,Rift Valley,Nandi,O'llessos,KE1131,,763,Polygon,spelling
Olokurto,1,Rift Valley,Narok,,KE1132,,892,Polygon,spelling
Ololulung'a,1,Rift Valley,Narok,,KE1133,,902,Polygon,spelling
Olorropil,1,Rift Valley,Narok,,KE1134,,895,Polygon,spelling
Olposimoru,1,Rift Valley,Narok,,KE1135,,891,Polygon,spelling
Obbu,5,Eastern,Moyale,Obbu,KE1136,,227,Polygon,
