IEBC_WARDS,COUNT,FIRST_PROV,FIRST_DIST,FIRST_DIVI,PCODE,STATUS,NO,SHAPE_1,STATUS_1
Ol Moran,3,Rift Valley,Laikipia,Ol Moran,KE1137,,811,Polygon,
Oldo-nyiro,4,Eastern,Isiolo,Oldo-nyiro,KE1138,,247,Polygon,spelling
Olkaria,1,Rift Valley,Nakuru,Naivasha,KE1139,,841,Polygon,
Olkeri,3,Rift Valley,Kajiado,Ngong,KE1140,,911,Polygon,
Ololmasani,5,Rift Valley,Transmara,Pirrar,KE1141,,888,Polygon,
Oloolua,3,Rift Valley,Kajiado,Ngong,KE1142,,914,Polygon,
Ombeyi,5,Nyanza,Nyando,Miwani,KE1143,,1212,Polygon,
Ong'ata Rongai,1,Rift Valley,Kajiado,Ngong,KE1144,,912,Polygon,
Pangani,1,Nairobi,Nairobi,Central,KE1145,,1441,Polygon,
Parklands/Highridge,3,Nairobi,Nairobi,Westlands,KE1146,,1367,Polygon,
Pipeline,1,Nairobi,Nairobi,Embakasi,KE1147,,1409,Polygon,
Pongwe / Kikoneni,4,Coast,Kwale,Msambweni,KE1148,,,,
Pongwe/Kikoneni,1,Coast,Kwale,Msambweni,KE1149,,35,Polygon,
Poro,8,Rift Valley,Samburu,Kirisia,KE1150,,665,Polygon,spelling
Port Reitz,1,Coast,Mombasa,Changamwe,KE1151,,1,Polygon,
Puma,3,Coast,Kwale,Kinango,KE1152,,45,Polygon,
Pumwani,2,Nairobi,Nairobi,Pumwani,KE1153,,1434,Polygon,
Purko,5,Rift Valley,Kajiado,Central,KE1154,,916,Polygon,
Racecourse,1,Rift Valley,Uasin Gishu,Kapsaret,KE1155,,727,Polygon,
Ragana/Oruba,2,Nyanza,Migori,Suba West,KE1156,,1275,Polygon,
Railways,3,Nyanza,Kisumu,Winam,KE1157,,1196,Polygon,
Ramisi,5,Coast,Kwale,Msambweni,KE1158,,34,Polygon,
Ravine,3,Rift Valley,Baringo,Eldama Ravine,KE1159,,807,Polygon,
Rhamu,4,North Eastern,Mandera,Rhamu,KE1160,,204,Polygon,
Rhamu Dimtu,5,North Eastern,Mandera,Rhamu Dimtu,KE1161,,205,Polygon,
Riabai,2,Central,Kiambu,Kiambu Municipality,KE1162,,584,Polygon,
Riana,2,Nyanza,Kisii Central,Suneka,KE1163,,1304,Polygon,
Ribikwo,6,Rift Valley,Baringo,Nginyang,KE1164,,783,Polygon,spelling
Rigoma,4,Nyanza,Kisii North (Nyamira),Rigoma,KE1165,,1346,Polygon,
Riruta,2,Nairobi,Nairobi,Dagoretti,KE1166,,1378,Polygon,
Riwo,16,Rift Valley,West Pokot,Kongelai,KE1167,,641,Polygon,
Rombo,3,Rift Valley,Kajiado,Loitokitok,KE1168,,934,Polygon,
Ronge,6,Coast,Taita,Mwambira,KE1169,,120,Polygon,
Rongena/Manaret,7,Rift Valley,Bureti,Sotik,KE1170,,970,Polygon,
Roysambu,2,Nairobi,Nairobi,Kasarani,KE1171,,1394,Polygon,
Ruai,2,Nairobi,Nairobi,Embakasi,KE1172,,1400,Polygon,
Rugi,6,Central,Nyeri,Mukurweini,KE1173,,488,Polygon,
Ruguru,8,Central,Nyeri,Mathira,KE1174,,477,Polygon,
Ruguru/Ngandori,8,Eastern,Embu,Manyatta,KE1175,,311,Polygon,spelling
Ruiri/Rwerera,6,Eastern,Meru Central,Buuri,KE1176,,284,Polygon,spelling
Ruma-Kaksingri East,4,Nyanza,Suba,Central,KE1177,,1260,Polygon,
Rumuruti Township,3,Rift Valley,Laikipia,Rumuruti,KE1178,,812,Polygon,
Rurii,3,Central,Nyandarua,Ol Kalou,KE1179,,457,Polygon,
Ruring'u,3,Central,Nyeri,Nyeri Municipality,KE1180,,494,Polygon,
Ruruma,3,Coast,Kilifi,Kaloleni,KE1181,,68,Polygon,
Rusinga Island,6,Nyanza,Suba,Mbita,KE1182,,1253,Polygon,
Rware,1,Central,Nyeri,Nyeri Municipality,KE1183,,492,Polygon,
Rwathia,5,Central,Murang'a,Kangema,KE1184,,518,Polygon,
Sagamian,1,Rift Valley,Narok,,KE1185,,906,Polygon,spelling
Sogoo,1,Rift Valley,Narok,,KE1186,,905,Polygon,spelling
Sabaki,1,Coast,Malindi,Malindi,KE1187,,85,Polygon,
Sabena,2,North Eastern,Garissa,Shant-abak,KE1188,,144,Polygon,
Saboti,2,Rift Valley,Trans Nzoia,Saboti,KE1189,,686,Polygon,
Sacho,9,Rift Valley,Baringo,Sacho,KE1190,,794,Polygon,
Sagala,4,Coast,Taita,Voi,KE1191,,126,Polygon,
Sagante/Jaldessa,6,Eastern,Marsabit,Gadhamoji,KE1192,,233,Polygon,spelling
Saka,3,North Eastern,Garissa,Balambala,KE1193,,138,Polygon,
Sala,7,Coast,Tana River,Madogo,KE1194,,99,Polygon,
Salama,9,Rift Valley,Laikipia,Rumuruti,KE1195,,816,Polygon,
Sambirir,19,Rift Valley,Elgeyo Marakwet,Tirap,KE1196,,732,Polygon,
Sameta/Mokwerero,3,Nyanza,Gucha (kisii South),Sameta,KE1197,,1321,Polygon,
Sangailu,5,North Eastern,Ijara,Sangailu,KE1198,,158,Polygon,
Sangalo/Kebulonik,5,Rift Valley,Nandi,Kabiyet,KE1199,,780,Polygon,
Sanghor/Soba,19,Rift Valley,Nandi,Tinderet,KE1200,,751,Polygon,spelling
Sango,2,Western,Kakamega,Likuyani,KE1201,,998,Polygon,
Sankuri,7,North Eastern,Garissa,Sankuri,KE1202,,139,Polygon,
Sarang'ombe,1,Nairobi,Nairobi,Kibera,KE1203,,1390,Polygon,
Sarman,3,North Eastern,Wajir,Tarbaji,KE1204,,173,Polygon,
Segera,5,Rift Valley,Laikipia,Central,KE1205,,823,Polygon,
Segero,5,Rift Valley,Uasin Gishu,Soy,KE1206,,,,
Sekerr,7,Rift Valley,West Pokot,Sigor,KE1207,,647,Polygon,
Sengwer,8,Rift Valley,Elgeyo Marakwet,Kapcherop,KE1208,,736,Polygon,
Sensi,2,Nyanza,Kisii Central,Marani,KE1209,,1338,Polygon,
Sergoit,3,Rift Valley,Uasin Gishu,Moiben,KE1210,,715,Polygon,
Sericho,9,Eastern,Isiolo,Sericho,KE1211,,250,Polygon,
Shaabab,1,Rift Valley,Nakuru,Municipality,KE1212,,875,Polygon,
Shaf Shafey,3,North Eastern,Mandera,Central,KE1213,,,,
Shamakhokho,5,Western,Vihiga,Tiriki East,KE1214,,1063,Polygon,
Shamata,5,Central,Nyandarua,Ndaragwa,KE1215,,465,Polygon,
Shankoe,7,Rift Valley,Transmara,Kilgoris,KE1216,,884,Polygon,
Shanzu,2,Coast,Mombasa,Kisauni,KE1217,,15,Polygon,
Shauri moyo/Kaloleni,1,Nyanza,Kisumu,Winam,KE1218,,1198,Polygon,spelling
Shella,7,Coast,Lamu,Amu,KE1219,,104,Polygon,
Sheywe,2,Western,Kakamega,Municipality,KE1220,,1012,Polygon,
Shika Adab,2,Coast,Mombasa,Likoni,KE1221,,22,Polygon,
Shimanzi/Ganjoni,3,Coast,Mombasa,Island,KE1222,,29,Polygon,
Shimbir Fatuma,4,North Eastern,Mandera,Shimbir Fatuma,KE1223,,210,Polygon,
Shimo La Tewa,2,Coast,Kilifi,Kikambala,KE1224,,60,Polygon,
Shinoyi/Shikomari,3,Western,Kakamega,Lurambi,KE1225,,1016,Polygon,spelling
Shirere,1,Western,Kakamega,Municipality,KE1226,,1014,Polygon,
Shiru,4,Western,Vihiga,Tiriki East,KE1227,,1061,Polygon,
Shirugu/Mugai,4,Western,Kakamega,Kabras,KE1228,,1007,Polygon,spelling
Siana,1,Rift Valley,Narok,,KE1229,,909,Polygon,
Siaya Town,5,Nyanza,Siaya,Boro,KE1230,,1166,Polygon,
Siboti,4,Western,Bungoma,Bumula,KE1231,,1095,Polygon,
Sigomere,8,Nyanza,Siaya,Ugunja,KE1232,,1161,Polygon,
Sigona,2,Central,Kiambu,Kikuyu,KE1233,,598,Polygon,
Sigor,9,Rift Valley,Bomet,Sigor,KE1234,,973,Polygon,
Sigowet,4,Rift Valley,Kericho,Sigowet,KE1235,,962,Polygon,
Sikhendu,1,Rift Valley,Trans Nzoia,Kiminini,KE1236,,692,Polygon,
Silale,3,Rift Valley,Baringo,Nginyang,KE1237,,784,Polygon,
Silibwet Township,4,Rift Valley,Bomet,Bomet Central,KE1238,,981,Polygon,
Simat/Kapseret,3,Rift Valley,Uasin Gishu,Kapsaret,KE1239,,722,Polygon,
Sindindi,6,Nyanza,Siaya,Ugunja,KE1240,,1160,Polygon,spelling
Singorwet,4,Rift Valley,Bomet,Bomet Central,KE1241,,983,Polygon,
Sinoko,4,Western,Kakamega,Likuyani,KE1242,,1001,Polygon,
Sinyerere,1,Rift Valley,Trans Nzoia,Kaplamai,KE1243,,694,Polygon,
Siongiroi,8,Rift Valley,Bomet,Siongiroi,KE1244,,975,Polygon,
Sirende,1,Rift Valley,Trans Nzoia,Central,KE1245,,690,Polygon,
Sirikwa,2,Rift Valley,Nakuru,Bahati,KE1246,,855,Polygon,
Sitatunga,1,Rift Valley,Trans Nzoia,Kaplamai,KE1247,,700,Polygon,
Sitikho,4,Western,Bungoma,Webuye,KE1248,,1108,Polygon,
Siyoi,9,Rift Valley,West Pokot,Kapenguria,KE1249,,644,Polygon,
Soin,16,Rift Valley,Nakuru,Rongai,KE1250,,965,Polygon,
Sokoke,13,Coast,Kilifi,Vitengeni,KE1251,,74,Polygon,
Sokoni,2,Coast,Kilifi,Bahari,KE1252,,52,Polygon,
Solai,7,Rift Valley,Nakuru,Mbogoini,KE1253,,864,Polygon,
Soliat,13,Rift Valley,Kericho,Soin,KE1254,,964,Polygon,
Sololo,4,Eastern,Moyale,Obbu,KE1255,,222,Polygon,
Songot,4,Rift Valley,Turkana,Lokichoggio,KE1256,,620,Polygon,
Sook,11,Rift Valley,West Pokot,Chepareria,KE1257,,646,Polygon,
Sosiani,7,Rift Valley,Laikipia,Rumuruti,KE1258,,822,Polygon,
South 'C',1,Nairobi,Nairobi,Kibera,KE1259,,1384,Polygon,
South Alego,7,Nyanza,Siaya,Karemo,KE1260,,,,
South Bukusu,3,Western,Bungoma,Bumula,KE1261,,1089,Polygon,
South East Alego,4,Nyanza,Siaya,Karemo,KE1262,,1168,Polygon,
South East Nyakach,3,Nyanza,Nyando,Upper Nyakach,KE1263,,1220,Polygon,
South Gem,8,Nyanza,Siaya,Wagai,KE1264,,1174,Polygon,
South Kabras,4,Western,Kakamega,Kabras,KE1265,,1008,Polygon,
South Kanyajuok,5,Nyanza,Migori,Rongo,KE1266,,,,
South Kanyamkago,4,Nyanza,Migori,Uriri,KE1267,,1280,Polygon,
South Maragoli,4,Western,Vihiga,Vihiga,KE1268,,1052,Polygon,
South Sakwa,15,Nyanza,Bondo,Maranda,KE1269,,1266,Polygon,
South Uyoma,3,Nyanza,Bondo,Madiany,KE1270,,1184,Polygon,
South West Kisumu,3,Nyanza,Kisumu,Winam,KE1271,,1191,Polygon,
South West Nyakach,3,Nyanza,Nyando,Upper Nyakach,KE1272,,1216,Polygon,
Soy,2,Rift Valley,Uasin Gishu,Soy,KE1273,,706,Polygon,
Soy North,10,Rift Valley,Elgeyo Marakwet,Soy,KE1274,,747,Polygon,
Soy South,11,Rift Valley,Elgeyo Marakwet,Soy,KE1275,,748,Polygon,
Soysambu/Mitua,2,Western,Bungoma,Tongaren,KE1276,,1120,Polygon,spelling
Spring Valley/Matopeni,2,Nairobi,Nairobi,Embakasi,KE1277,,1420,Polygon,
Suam,6,Rift Valley,West Pokot,Kacheliba,KE1278,,651,Polygon,
Subukia,7,Rift Valley,Nakuru,Mbogoini,KE1279,,857,Polygon,
Suguta Marmar,6,Rift Valley,Samburu,Lorroki,KE1280,,662,Polygon,spelling
Sukha Central,4,Western,Kakamega,Shinyalu,KE1281,,1043,Polygon,
Sukha East,3,Western,Kakamega,Ileho,KE1282,,,,
Sukha North,4,Western,Kakamega,Ileho,KE1283,,,,
Sukha South,5,Western,Kakamega,Shinyalu,KE1284,,,,
Suna Central,2,Nyanza,Migori,Suba East,KE1285,,1270,Polygon,
Suswa,1,Rift Valley,Narok,,KE1286,,900,Polygon,
Syokimau/Mlolongo,1,Eastern,Machakos,Athi River,KE1287,,397,Polygon,
Tabaka,3,Nyanza,Gucha (kisii South),Nyamarambe,KE1288,,1305,Polygon,
Tagare,4,Nyanza,Kuria,Mabera,KE1289,,1294,Polygon,
Takaba,2,North Eastern,Mandera,Takaba,KE1290,,192,Polygon,
Takaba South,3,North Eastern,Mandera,Takaba,KE1291,,191,Polygon,
Tala,3,Eastern,Machakos,Matungulu,KE1292,,385,Polygon,
Tambach,7,Rift Valley,Elgeyo Marakwet,Tambach,KE1293,,743,Polygon,
Tambua,5,Western,Vihiga,Tiriki West,KE1294,,1066,Polygon,
Tangulbei/Korossi,7,Rift Valley,Baringo,Tangulbei,KE1295,,786,Polygon,spelling
Tapach,9,Rift Valley,West Pokot,Tapach,KE1296,,660,Polygon,
Tapsagoi,4,Rift Valley,Uasin Gishu,Turbo,KE1297,,709,Polygon,
Tarakwa,5,Rift Valley,Uasin Gishu,Kesses,KE1298,,730,Polygon,
Tarbaj,3,North Eastern,Wajir,Tarbaji,KE1299,,174,Polygon,
Tebesonik,7,Rift Valley,Bureti,Roret,KE1300,,951,Polygon,
Tembelio,7,Rift Valley,Uasin Gishu,Moiben,KE1301,,714,Polygon,
Tendeno/Sorget,4,Rift Valley,Kericho,Londiani,KE1302,,939,Polygon,
Tenges,9,Rift Valley,Baringo,Sacho,KE1303,,795,Polygon,
Terik,5,Rift Valley,Nandi,Aldai,KE1304,,756,Polygon,
Tezo,3,Coast,Kilifi,Bahari,KE1305,,51,Polygon,
Thangatha,5,Eastern,Meru North,Tigania East,KE1306,,271,Polygon,
Thange,4,Eastern,Makueni,Kibwezi,KE1307,,439,Polygon,
Tharaka,7,Eastern,Kitui,Mumoni,KE1308,,335,Polygon,
Thegu River,6,Central,Nyeri,Kieni East,KE1309,,474,Polygon,
Theta,1,Central,Thika,Ruiru,KE1310,,560,Polygon,
Thiba,2,Central,Kirinyaga,Mwea,KE1311,,498,Polygon,
Thingithu,2,Rift Valley,Laikipia,Central,KE1312,,819,Polygon,
Tigithi,2,Rift Valley,Laikipia,Lamuria,KE1313,,818,Polygon,
Timau,5,Eastern,Meru Central,Timau,KE1314,,281,Polygon,
Timbwani,1,Coast,Mombasa,Likoni,KE1315,,25,Polygon,
Tinderet,16,Rift Valley,Nandi,Tinderet,KE1316,,752,Polygon,
Tinet,6,Rift Valley,Nakuru,Njoro,KE1317,,852,Polygon,
Ting'ang'a,4,Central,Kiambu,Kiambu Municipality,KE1318,,582,Polygon,
Tirioko,7,Rift Valley,Baringo,Kolowa,KE1319,,781,Polygon,
Tiwi,3,Coast,Kwale,Matuga,KE1320,,41,Polygon,
Tongaren,2,Western,Bungoma,Tongaren,KE1321,,1119,Polygon,
Tononoka,1,Coast,Mombasa,Island,KE1322,,28,Polygon,
Township(Bungoma),1,Western,Bungoma,Kanduyi,KE1323,,,,
Township(Garissa),1,North Eastern,Garissa,Central,KE1324,,,,
Township(Kiambu),3,Central,Kiambu,Kiambu Municipality,KE1325,,,,
Township(Kitui),4,Eastern,Kitui,Central,KE1326,,,,
Township(Mandera),5,North Eastern,Mandera,Central,KE1327,,,,
Township(Moyale),3,Eastern,Moyale,Central,KE1328,,225,Polygon,
Township(Murang'a),2,Central,Murang'a,Kiharu,KE1329,,,,
Township(Nyamira),1,Nyanza,Kisii North (Nyamira),Nyamira,KE1330,,,,
Township(Thika),2,Central,Thika,Thika Municipality,KE1331,,,,
Township(Wajir),3,North Eastern,Wajir,Central,KE1332,,,,
Tseikuru,12,Eastern,Kitui,Tseikuru,KE1333,,334,Polygon,
Tsimba/Golini,5,Coast,Kwale,Matuga,KE1334,,39,Polygon,
Tudor,2,Coast,Mombasa,Island,KE1335,,27,Polygon,
Tulimani,12,Eastern,Makueni,Tulimani,KE1336,,411,Polygon,
Tulwet/Chuiyat,4,Rift Valley,Uasin Gishu,Kesses,KE1337,,729,Polygon,spelling
Turbi,4,Eastern,Marsabit,Turbi,KE1338,,230,Polygon,
Turi,2,Rift Valley,Nakuru,Njoro,KE1339,,828,Polygon,
Turkwel,9,Rift Valley,Turkana,Turkwel,KE1340,,630,Polygon,
Marakaru/Tuuti,1,Western,Bungoma,Kanduyi,KE1341,,1102,Polygon,spelling
Tuwani,2,Rift Valley,Trans Nzoia,Central,KE1342,,685,Polygon,
Ugunja,8,Nyanza,Siaya,Ugunja,KE1343,,1162,Polygon,
Ukia,16,Eastern,Makueni,Kaiti,KE1344,,420,Polygon,
Ukunda,1,Coast,Kwale,Msambweni,KE1345,,32,Polygon,
Ukwala,7,Nyanza,Siaya,Ukwala,KE1346,,1157,Polygon,
Umoja One,1,Nairobi,Nairobi,Embakasi,KE1347,,1426,Polygon,
Umoja Two,1,Nairobi,Nairobi,Embakasi,KE1348,,1427,Polygon,
Upper Kaewa/Iveti,5,Eastern,Machakos,Kathiani,KE1349,,392,Polygon,
Upper Savanna,1,Nairobi,Nairobi,Embakasi,KE1350,,1421,Polygon,
Uran,7,Eastern,Moyale,Uran,KE1351,,226,Polygon,
Usonga,3,Nyanza,Siaya,Uranga,KE1352,,1163,Polygon,
Utalii,2,Nairobi,Nairobi,Kasarani,KE1353,,1402,Polygon,
Utawala,1,Nairobi,Nairobi,Embakasi,KE1354,,1424,Polygon,
Uthiru,1,Central,Kiambu,Kikuyu,KE1355,,595,Polygon,
Uthiru/Ruthimutu,3,Nairobi,Nairobi,Dagoretti,KE1356,,1379,Polygon,
Visoi,8,Rift Valley,Nakuru,Rongai,KE1357,,862,Polygon,
Viwanda,1,Rift Valley,Nakuru,Olenguruone,KE1358,,843,Polygon,
Viwandani,1,Nairobi,Nairobi,Makadara,KE1359,,1431,Polygon,
Voo/kyamatu,8,Eastern,Kitui,Mwitika,KE1360,,362,Polygon,
Wusi/Kishamba,6,Coast,Taita,Mwatate,KE1361,,124,Polygon,
Waa,5,Coast,Kwale,Matuga,KE1362,,40,Polygon,
Wabera,1,Eastern,Isiolo,Central,KE1363,,241,Polygon,
Waberi,1,North Eastern,Garissa,Central,KE1364,,131,Polygon,
Wagalla,1,North Eastern,Wajir,Griftu,KE1365,,,,
Wagberi,1,North Eastern,Wajir,Central,KE1366,,168,Polygon,
Waia/Kako,10,Eastern,Makueni,Kisau,KE1367,,415,Polygon,
Waita,7,Eastern,Kitui,Migwani,KE1368,,345,Polygon,
Waitaluk,1,Rift Valley,Trans Nzoia,Central,KE1369,,689,Polygon,
Waithaka,2,Nairobi,Nairobi,Dagoretti,KE1370,,1380,Polygon,
Waldai,3,Rift Valley,Kericho,Belgut,KE1371,,957,Polygon,
Wamagana,15,Central,Nyeri,Tetu,KE1372,,467,Polygon,
Wamba East,6,Rift Valley,Samburu,Wamba,KE1373,,674,Polygon,
Wamba North,6,Rift Valley,Samburu,Wamba,KE1374,,675,Polygon,
Wamba West,11,Rift Valley,Samburu,Wamba,KE1375,,673,Polygon,
Wamumu,1,Central,Kirinyaga,Mwea,KE1376,,499,Polygon,
Wamunyu,7,Eastern,Machakos,Yathui,KE1377,,409,Polygon,
Wang'chieng,9,Nyanza,Rachuonyo,East Karachuonyo,KE1378,,1235,Polygon,
Wangu,6,Central,Murang'a,Kahuro,KE1379,,522,Polygon,
Wanjohi,4,Central,Nyandarua,Kipipiri,KE1380,,449,Polygon,
Waranqara,4,North Eastern,Mandera,Waranqara,KE1381,,219,Polygon,
Wargadud,8,North Eastern,Wajir,Kotulo,KE1382,,175,Polygon,
Wasimbete,4,Nyanza,Migori,Suba West,KE1383,,1276,Polygon,
Waso,6,Rift Valley,Samburu,Waso,KE1384,,672,Polygon,
Wasweta II,2,Nyanza,Migori,Suba West,KE1385,,1274,Polygon,
Watamu,4,Coast,Malindi,Malindi,KE1386,,56,Polygon,
Wayu,6,Coast,Tana River,Galole,KE1387,,95,Polygon,
Wei Wei,12,Rift Valley,West Pokot,Sigor,KE1388,,650,Polygon,
Wemilabi,6,Western,Vihiga,Emuhaya,KE1389,,1069,Polygon,
Weru,4,Central,Nyandarua,Ol Joro Orok,KE1390,,460,Polygon,
Werugha,5,Coast,Taita,Wundanyi,KE1391,,117,Polygon,
West  Asembo,5,Nyanza,Bondo,Rarieda,KE1392,,1182,Polygon,
West Alego,10,Nyanza,Siaya,Uranga,KE1393,,1164,Polygon,
West Bukusu,4,Western,Bungoma,Bumula,KE1394,,1094,Polygon,
West Bunyore,5,Western,Vihiga,Luanda,KE1395,,1075,Polygon,
West Gem,10,Nyanza,Siaya,Wagai,KE1396,,1170,Polygon,
West Kabras,3,Western,Kakamega,Kabras,KE1397,,1002,Polygon,
West Kanyamkago,3,Nyanza,Migori,Uriri,KE1398,,1277,Polygon,
West Karachuonyo,8,Nyanza,Rachuonyo,West Karachuonyo,KE1399,,1230,Polygon,
West Kasipul,9,Nyanza,Rachuonyo,Kasipul,KE1400,,1221,Polygon,
West Kisumu,5,Nyanza,Kisumu,Maseno,KE1401,,1194,Polygon,
West Nalondo,2,Western,Bungoma,Nalondo,KE1402,,1086,Polygon,
West Nyakach,5,Nyanza,Nyando,Upper Nyakach,KE1403,,1219,Polygon,
West Sabatia,5,Western,Vihiga,Sabatia,KE1404,,1056,Polygon,
West Sakwa,9,Nyanza,Bondo,Maranda,KE1405,,1267,Polygon,
West Sang'alo,2,Western,Bungoma,Kanduyi,KE1406,,1103,Polygon,
West Seme,10,Nyanza,Kisumu,Kombewa,KE1407,,1202,Polygon,
West Ugenya,9,Nyanza,Siaya,Ukwala,KE1408,,1156,Polygon,
West Uyoma,5,Nyanza,Bondo,Madiany,KE1409,,1185,Polygon,
Wiga,4,Nyanza,Migori,Suba West,KE1410,,1273,Polygon,
Witeithie,2,Central,Thika,Ruiru,KE1411,,562,Polygon,
Witu,4,Coast,Lamu,Witu,KE1412,,109,Polygon,
Wodanga,5,Western,Vihiga,Sabatia,KE1413,,1059,Polygon,
Woodley/Kenyatta Golf,3,Nairobi,Nairobi,Dagoretti,KE1414,,1389,Polygon,
Wote,6,Eastern,Makueni,Wote,KE1415,,424,Polygon,
Wumingu/kishushe,5,Coast,Taita,Wundanyi,KE1416,,118,Polygon,
Wundanyi,7,Coast,Taita,Wundanyi,KE1417,,116,Polygon,spelling
Yala Township,3,Nyanza,Siaya,Yala,KE1418,,1172,Polygon,
Yimbo East,6,Nyanza,Bondo,Usigu,KE1419,,1178,Polygon,
Yimbo West,4,Nyanza,Bondo,Usigu,KE1420,,1175,Polygon,
Zimmerman,2,Nairobi,Nairobi,Kasarani,KE1421,,1393,Polygon,
Ziwa,4,Rift Valley,Uasin Gishu,Soy,KE1422,,703,Polygon,
Ziwani/Kariokor,1,Nairobi,Nairobi,Central,KE1423,,1442,Polygon,
Kabuoch South/Pala,3,Nyanza,Homa Bay,Riana,KE0002,,1249,Polygon,
Homa Bay Central,3,Nyanza,Homa Bay,Asego,KE0329,,1241,Polygon,
Homa Bay Arujo,3,Nyanza,Homa Bay,Asego,KE0328,,1242,Polygon,