ministry,state_department
MINISTRY OF INTERIOR AND NATIONAL ADMINISTRATION,STATE DEPARTMENT FOR INTERNAL SECURITY AND NATIONAL ADMINISTRATION
MINISTRY OF INTERIOR AND NATIONAL ADMINISTRATION,STATE DEPARTMENT FOR CORRECTIONAL SERVICES
MINISTRY OF INTERIOR AND NATIONAL ADMINISTRATION,STATE DEPARTMENT FOR IMMIGRATION AND CITIZEN SERVICES
MINISTRY OF DEFENCE,STATE DEPARTMENT FOR DEFENCE
THE NATIONAL TREASURY AND ECONOMIC PLANNING,STATE DEPARTMENT FOR THE NATIONAL TREASURY
THE NATIONAL TREASURY AND ECONOMIC PLANNING,STATE DEPARTMENT FOR ECONOMIC PLANNING
MINISTRY OF FOREIGN AND DIASPORA AFFAIRS,STATE DEPARTMENT FOR FOREIGN AFFAIRS
MINISTRY OF FOREIGN AND DIASPORA AFFAIRS,STATE DEPARTMENT FOR DIASPORA AFFAIRS
MINISTRY OF PUBLIC SERVICE GENDER AND AFFIRMATIVE ACTION,STATE DEPARTMENT FOR PUBLIC SERVICE
MINISTRY OF PUBLIC SERVICE GENDER AND AFFIRMATIVE ACTION,STATE DEPARTMENT FOR GENDER AND AFFIRMATIVE ACTION
MINISTRY OF ROADS AND TRANSPORT,STATE DEPARTMENT FOR ROADS
MINISTRY OF ROADS AND TRANSPORT,STATE DEPARTMENT FOR TRANSPORT
MINISTRY OF LANDS PUBLIC WORKS HOUSING AND URBAN DEVELOPMENT,STATE DEPARTMENT FOR LANDS AND PHYSICAL PLANNING
MINISTRY OF LANDS PUBLIC WORKS HOUSING AND URBAN DEVELOPMENT,STATE DEPARTMENT FOR HOUSING AND URBAN DEVELOPMENT
MINISTRY OF LANDS PUBLIC WORKS HOUSING AND URBAN DEVELOPMENT,STATE DEPARTMENT FOR PUBLIC WORKS
MINISTRY OF INFORMATION COMMUNICATIONS AND THE DIGITAL ECONOMY,STATE DEPARTMENT FOR BROADCASTING AND TELECOMMUNICATIONS
MINISTRY OF INFORMATION COMMUNICATIONS AND THE DIGITAL ECONOMY,STATE DEPARTMENT FOR ICT AND THE DIGITAL ECONOMY
MINISTRY OF HEALTH,STATE DEPARTMENT FOR MEDICAL SERVICES
MINISTRY OF HEALTH,STATE DEPARTMENT FOR PUBLIC HEALTH AND PROFESSIONAL STANDARDS
MINISTRY OF EDUCATION,STATE DEPARTMENT FOR BASIC EDUCATION
MINISTRY OF EDUCATION,STATE DEPARTMENT FOR TECHNICAL VOCATIONAL EDUCATION AND TRAINING
MINISTRY OF EDUCATION,STATE DEPARTMENT FOR HIGHER EDUCATION AND RESEARCH
MINISTRY OF AGRICULTURE AND LIVESTOCK DEVELOPMENT,STATE DEPARTMENT FOR CROP DEVELOPMENT
MINISTRY OF AGRICULTURE AND LIVESTOCK DEVELOPMENT,STATE DEPARTMENT FOR LIVESTOCK DEVELOPMENT
MINISTRY OF INVESTMENTS TRADE AND INDUSTRY,STATE DEPARTMENT FOR INVESTMENTS PROMOTION
MINISTRY OF INVESTMENTS TRADE AND INDUSTRY,STATE DEPARTMENT FOR TRADE
MINISTRY OF INVESTMENTS TRADE AND INDUSTRY,STATE DEPARTMENT FOR INDUSTRY
MINISTRY OF CO OPERATIVES AND MSME DEVELOPMENT,STATE DEPARTMENT FOR CO OPERATIVES
MINISTRY OF CO OPERATIVES AND MSME DEVELOPMENT,STATE DEPARTMENT FOR MSME DEVELOPMENT
MINISTRY OF YOUTH AFFAIRS SPORTS AND THE ARTS,STATE DEPARTMENT FOR YOUTH AFFAIRS
MINISTRY OF YOUTH AFFAIRS SPORTS AND THE ARTS,STATE DEPARTMENT FOR SPORTS
MINISTRY OF YOUTH AFFAIRS SPORTS AND THE ARTS,STATE DEPARTMENT FOR CULTURE THE ARTS AND HERITAGE
MINISTRY OF ENVIRONMENT CLIMATE CHANGE AND FORESTRY,STATE DEPARTMENT FOR ENVIRONMENT AND CLIMATE CHANGE
MINISTRY OF ENVIRONMENT CLIMATE CHANGE AND FORESTRY,STATE DEPARTMENT FOR FORESTRY
MINISTRY OF TOURISM WILDLIFE AND HERITAGE,STATE DEPARTMENT FOR TOURISM
MINISTRY OF TOURISM WILDLIFE AND HERITAGE,STATE DEPARTMENT FOR WILDLIFE
MINISTRY OF WATER SANITATION AND IRRIGATION,STATE DEPARTMENT FOR WATER AND SANITATION
MINISTRY OF WATER SANITATION AND IRRIGATION,STATE DEPARTMENT FOR IRRIGATION
MINISTRY OF ENERGY AND PETROLEUM,STATE DEPARTMENT FOR ENERGY
MINISTRY OF ENERGY AND PETROLEUM,STATE DEPARTMENT FOR PETROLEUM
MINISTRY OF LABOUR AND SOCIAL PROTECTION,STATE DEPARTMENT FOR LABOUR AND SKILLS DEVELOPMENT
MINISTRY OF LABOUR AND SOCIAL PROTECTION,STATE DEPARTMENT FOR SOCIAL PROTECTION AND SENIOR CITIZEN AFFAIRS
MINISTRY OF EAST AFRICAN COMMUNITY THE ASALS AND REGIONAL DEVELOPMENT,STATE DEPARTMENT FOR EAST AFRICAN COMMUNITY
MINISTRY OF EAST AFRICAN COMMUNITY THE ASALS AND REGIONAL DEVELOPMENT,STATE DEPARTMENT FOR ASALS AND REGIONAL DEVELOPMENT
MINISTRY OF MINING BLUE ECONOMY AND MARITIME AFFAIRS,STATE DEPARTMENT FOR MINING
MINISTRY OF MINING BLUE ECONOMY AND MARITIME AFFAIRS,STATE DEPARTMENT FOR BLUE ECONOMY AND FISHERIES
MINISTRY OF MINING BLUE ECONOMY AND MARITIME AFFAIRS,STATE DEPARTMENT FOR SHIPPING AND MARITIME AFFAIRS
THE STATE LAW OFFICE,STATE DEPARTMENT FOR JUSTICE
